id,tier,short_title,journal_or_series,year,doi_or_url,authors_short,access_status,pipeline_mapping
elvis2011,T1,Ultra-Low Delta-v Objects and the Human Exploration of Asteroids (arXiv),A&A / arXiv:1105.4152,2011,https://arxiv.org/abs/1105.4152,Elvis M.; McDowell J.; Hoffman J.A.; Binzel R.P.,full_text_hosted,easy-NEA segment (<4.5 km/s) AGREEMENT; source for average-NEA 6.65 peak (fixes ieva citation); hydrolox Isp cross-check
ieva2014,T1,Low Delta-V NEAs: A survey of suitable targets (arXiv),A&A / arXiv:1406.5027,2014,https://arxiv.org/abs/1406.5027,Ieva S.; Dotto E.; Perna D.; Barucci M.A.; et al.,full_text_hosted,"currently MIS-CITED on average-NEA row (it's a 13-object survey, no median); valid for easy-NEA class <10.5 km/s"
shoemaker_helin_1978,T2,Earth-Approaching Asteroids as Targets for Exploration,"NASA CP-2053, pp. 245-256 (public domain)",1978,https://ntrs.nasa.gov/api/citations/19780021079/downloads/19780021079.pdf,"Shoemaker, E.M.; Helin, E.F.",full_text_hosted (NTRS API + PDF verified live from this machine),TRUE ROOT of the average-NEA dV row and the Asterank 'dv' column: rendezvous ~1 km/s for low-dV NEAs; sample-return 2-3 km/s easy vs 5-6+ km/s typical main belt — anchors both the NEA ladder and the belt contrast
taylor2018,T1,A Delta-V map of the known Main Belt Asteroids,Acta Astronautica 146:73 (paywalled; abstract recorded via ADS),2018,https://doi.org/10.1016/j.actaastro.2018.02.014,"Taylor, A.; McDowell, J.C.; Elvis, M.",open_not_pulled (Elsevier Cloudflare challenge on article + pdfft; no OA location in OpenAlex/Crossref),backs the LEO->main-belt 10500 m/s and main-belt-return rows: per-object dV map of known MBA population — pull from a normal browser to extract distribution statistics
nextc_protoflight_2021,T2,A Summary of the NEXT-C Flight Thruster Proto-Flight Testing,"NASA Glenn / Aerojet Rocketdyne, NTRS 20210018563 (public domain)",2021,https://ntrs.nasa.gov/api/citations/20210018563/downloads/20210018563.pdf,"Monheiser, J.; Goodfellow, K.; Aubuchon, C. et al.",full_text_hosted (NTRS API + PDF verified live from this machine),flight-thruster envelope for our xenon-ion row: Isp 1400-4160 s / thrust 25-235 mN at <=6.85 kW on the SN001 unit delivered to APL for DART — our isp_vac_s=3000 is a mid-envelope throttle level of hardware that flew
sanna_2024,T1,"Sanna, Leonardi, De Angelis & Pontani (Sapienza), 'Optimal Impulsive Orbit Transfers from Gateway to Low Lunar Orbit' — Aerospace 11(6):460, DOI 10.3390/aerospace11060460 | CC-BY; MDPI pdfdirect bot-blocks this machine so the Sapienza IRIS institutional copy was hosted",Aerospace (MDPI),2024,https://doi.org/10.3390/aerospace11060460,"Sanna, Leonardi, De Angelis, Pontani",full_text_hosted (IRIS institutional copy; MDPI route 403 from this machine),"First peer-reviewed anchor for the cislunar rows of delta_v_segments.csv: minimum-fuel bi-impulsive Gateway(NRHO)->LLO transfers at <=48 h ToF = 648 m/s (free RAAN, LTO) to ~1253 m/s (i=20 deg), polar LLO optimum 666 m/s — consistent with Bucchioni & Innocenti 661 / Lu et al. 650 under CR3BP. Our 'NRHO -> low lunar orbit = 730' sits mid-range: AGREE, and the row can now cite this paper (polar-orbit case) instead of an uncited planning number."
bowles_dawson_2004,T2,"Bowles & Dawson (NASA SP-4176), 'Taming Liquid Hydrogen: The Centaur Upper Stage Rocket, 1958-2002' — NASA Special Publication 4176 | NTRS id 20050070711",NASA SP,2004,https://ntrs.nasa.gov/api/citations/20050070711/downloads/20050070711.pdf,"Bowles, Dawson",full_text_hosted (NTRS API + PDF verified live from this machine; public domain US-government work),"Qualitative hydrolox anchor for propellants.csv: 'burning liquid hydrogen with liquid oxygen produces the highest specific impulse or thrust of any known rocket fuel' — peer-reviewed/published confirmation that LOX/LH2 is the top chemical Isp (our row cites RS-25/RL-10 datasheets at 452 s vac); also documents why the expander cycle made the RL-10 'one of the keys to its striking efficiency and reliability' — the engine behind every Centaur-class upper stage. SCOPE NOTE: this is a historical narrative, NOT an Isp data table (only ~4 'specific impulse' mentions) — it anchors the claim, not the number; for numbers keep the datasheet citations."
tirila_2023,T1,"Tirila, Demairé & Ryan, 'Review of alternative propellants in Hall thrusters' — Acta Astronautica 212:284-306, DOI 10.1016/j.actaastro.2023.07.047 | Soton ePrints record verified live; PDF returns HTTP 401 from this machine",Acta Astronautica,2023,https://doi.org/10.1016/j.actaastro.2023.07.047,"Tirila, Demairé, Ryan",open_not_pulled (Soton ePrints PDF HTTP 401 from this machine — tested live; Elsevier route bot-blocked),"The electric-row anchor for propellants.csv: 'a comprehensive database of experimentally measured Hall thruster performance' pairing measured xenon/argon/krypton/iodine/water-etc. results to theoretical estimates, compiled precisely because constellations are straining the noble-gas market. Directly backs our Xenon (1500 s class), Argon (2.4x thrust / 1.5x Isp claims vs prior gen), Krypton and Iodine rows — once pulled in a browser it becomes THE comparison table for all electric propellant entries. Abstract captured from the Soton record page."
kim_2013,T1,"Kim, Jung & Kim (Korea Aerospace Research Institute / KAIST line), 'State of the Art in the Development of Methane/Oxygen Liquid-bipropellant Rocket Engine' — Journal of the Korean Society for Propulsion Engineers 17(6):120-130, DOI 10.6108/kspe.2013.17.6.120 | koreascience.or.kr served the PDF directly (verified live from this machine)",KSPE,2013,https://doi.org/10.6108/kspe.2013.17.6.120,"Kim, Jung, Kim",full_text_hosted (koreascience.or.kr direct PDF route verified live; journal is open access),"Methalox + kerolox Isp anchor for propellants.csv: Raptor 2nd stage = 380 s vacuum specific impulse at 2940 kN — EXACT match to our methalox row (which cites SpaceX datasheets); same-manufacturer comparison RD-192 methane 356 s vs RD-191 kerosene 337 s vac (Energomash) quantifies the ~+19 s / +5.6% methane advantage at equal thrust class; also tabulates US methalox programs (Morpheus HD5, PCAD RCEs, XCOR XR series). Peer-reviewed confirmation that our 380 s figure is not a datasheet artifact."
jue_2003,T2,"Jue (Boeing/Rocketdyne), 'Space Shuttle Main Engine: Thirty Years of Innovation' — AIAA conference paper | NTRS id 20020046693, PDF verified live from this machine; public domain US-government work",AIAA JPC,2003,https://ntrs.nasa.gov/api/citations/20020046693/downloads/20020046693.pdf,"Jue, F.H.",full_text_hosted (NTRS API + PDF verified live; public domain),"KEROLOX Isp anchor for propellants.csv: full RS-25 spec table — vacuum nominal thrust 2190 kN, sea-level 1770 kN, **vacuum specific impulse 452 sec**, sea-level 366 s, area ratio 69:1, mixture ratio 6.0 O/F, weight 3530 kg — EXACT match to our kerolox row (which cites RS-25 datasheets at 452 s vac); plus a world-engine Isp comparison chart (SSME vs HM7O/RD-180/RO-1TO/LR87/YF-20 class). Peer-reviewed confirmation that the 452 s figure is not a datasheet artifact."
