parameter,source_doc,page,value_verbatim,unit,our_row_value,delta_pct,verdict,method,notes
RL10A-3-3A vacuum specific impulse (nominal),NTRS 20150008246 NASA/TM—2015-218736 p9,9,444.4±2.5 sec at O/F 5.0:1,s,propellants.csv hydrolox isp_vac_s = 452.0,+1.71% (ours higher),consistency anchor — no revision forced; row is a family-level figure and the RL-10 half now has an institutional measured value,verbatim programmatic slice from fresh NTRS pull sha-matched to hosted copy; ± encoded as U+F0B1 in source text layer (display-normalized here),measured on Centaur engines at space vacuum conditions
RL10A-3-3A rated thrust (space vacuum),NTRS 20150008246 p9,9,"rated thrust of 16,500 lb",lbf,(not tracked in our tables — engine-level thrust not a spacecost column),,extracted for future use (launch_vehicles.csv context),same sentence as the Isp anchor; conversion computed: 16500.000 lbf x 4.44822 N/lb = 73.4 kN,
RL10A-3-3B qualification plan,NTRS 20150008246 p18,18,"Reduce thrust level, 15,000 lb instead of 16,500 lb; O/F 6.0:1 instead of 5.0:1",lbf / ratio,,,context only — Shuttle/Centaur variant qualification deltas (p18 verbatim),verbatim programmatic slice,
RS-25 SLS mission profile burn,NTRS 20180006338 p2,2,"~500 seconds at a primary thrust level of 512,000 pounds (109 percent of rated thrust)",s / lbf,,,institutional confirmation for launch_vehicles.csv SLS Block 1 row (operational status + profile); no vac-Isp figure in this doc — honest gap recorded,verbatim programmatic slice,"sea-level start, altitude shutdown"
RS-25 adaptation hot-fire campaign scale,NTRS 20180006338 p2,2,"minimum of seven starts and 3500 seconds on one development engine; almost 9,000 seconds total accumulated (Jan 2015 - Oct 2017)",starts / s,,,test-heritage context for the SLS row's operational status claim,verbatim programmatic slices (two sentences),
RS-25 certified service life,NTRS 20170008958 p2,2,"a certified service life of 55 starts and 27,000 seconds",starts / s,,,institutional basis for engine-level reusability (launch_vehicles.csv SLS row lists expendable vehicle; the ENGINES are reusable — distinction recorded),verbatim programmatic slice,
COMPUTED: our hydrolox Isp vs measured RL10A-3-3A,,,452.0 s vs 444.4 s,%,,+1.71%,computed in code: (452.0 - 444.4)/444.4 x 100 — inside any sane family-representative tolerance; no revision forced,computed in code,
"NTP test-stand specific impulse (1968 engine spec)","NTRS 19700004945 p4",4,"at a specific impulse of 825 sec/lbm (~75,000 lb thrust; reactor 1575 MW; LH2 ~91 lb/sec)",s,"row note: 'NERVA's NRX/XE ran on a test stand at 825 s in 1968' (isp_vac_s cell = 900 is the DRACO target, not this figure)",,"anchor — historical-test half of the citation now institutionally backed; no revision forced (the 900 s cell is a design goal per its own note)","verbatim programmatic slice from fresh NTRS pull sha-matched to hosted copy; OCR '1bf-sec/lbm' = lbf-sec/lbm; subject line of the sentence OCR-garbled -> designation not pinned (R51 discipline)",
"NTP vacuum-corrected demonstration Isp (all 1968 performance demonstrations)","NTRS 19700004945 p12",12,"specific impulses when corrected for vacuun conditions of about 800 sec",s,,,"context — vacuum correction below the nominal 825 s figure; OCR 'vacuun' = vacuum","verbatim programmatic slice from fresh NTRS pull sha-matched to hosted copy",
"NTP upgraded-model (PFRT path) vacuum performance point, second document","NTRS 19680011933 p12",12,"vacuum thrust of 75,000 lbs. and a vacuum specific impulse of approximately 825 seconds (at 1560 MW / 4500 R)",s,,,"inter-source agreement — same performance point as the Development Status doc; not a single-document artifact","verbatim programmatic slice from fresh NTRS pull sha-matched to hosted copy",
