source_id,item,value,unit,location_in_source,notes
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 8",9973.8,ft/sec,p55 Earth-orbit table (~3.04 km/s),"lower end of the landing-mission TLI range; our delta_v_segments.csv note states 'Apollo TLI 3.05-3.20' — AGREEMENT"
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 11",10008.1,ft/sec,p113 Earth-orbit table (~3.05 km/s),"matches the low end of our stated range exactly"
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 12",10515,ft/sec,p135 Earth-orbit table (~3.20 km/s),"upper end of the landing-mission TLI range; our stated '3.05-3.20' upper bound AGREES"
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 13",10039,ft/sec,p160 Earth-orbit table (~3.06 km/s),"A13 aborted before landing but TLI was flown"
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 14",10366.5,ft/sec,p184 Earth-orbit table (~3.16 km/s),"mid-range AGREEMENT"
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 15",10414.7,ft/sec,p212 Earth-orbit table (~3.17 km/s),"mid-range AGREEMENT"
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 16",10389.6,ft/sec,p240 Earth-orbit table (~3.17 km/s),"mid-range AGREEMENT"
sp4029_apollo_by_the_numbers,"TLI (S-IVB 2nd burn cutoff), Apollo 17",10376,ft/sec,p266 Earth-orbit table (~3.16 km/s),"mid-range AGREEMENT; full landing-mission range = 9974–10515 ft/s ≈ 3.04–3.20 km/s"
sp4029_apollo_by_the_numbers,"LOI (lunar orbit insertion cutoff), Apollo 8",2997,ft/sec,p56 lunar-orbit table (~913 m/s),"within our row's class; A8 was the first LOI flight"
sp4029_apollo_by_the_numbers,"LOI (lunar orbit insertion cutoff), Apollo 10",2982.4,ft/sec,p94 lunar-orbit table (~909 m/s),"AGREEMENT with our row value of 900 m/s (within ~1%)"
sp4029_apollo_by_the_numbers,"LOI (lunar orbit insertion cutoff), Apollo 11",2917.5,ft/sec,p114 lunar-orbit table (~889 m/s),"low end of measured range; our row 900 sits ~1% above — near-exact"
sp4029_apollo_by_the_numbers,"LOI (lunar orbit insertion cutoff), Apollo 14",3022.4,ft/sec,p185 lunar-orbit table (~922 m/s),"high end of measured range; our row 900 within ~2% — near-exact"
sp4029_apollo_by_the_numbers,"LOI (lunar orbit insertion cutoff), Apollo 15",3000.1,ft/sec,p213 lunar-orbit table (~914 m/s),"AGREEMENT with our row value of 900 m/s"
sp4029_apollo_by_the_numbers,"LOI (lunar orbit insertion cutoff), Apollo 17",2988,ft/sec,p267 lunar-orbit table (~910 m/s),"AGREEMENT; A16 LOI excluded — its p241 table columns are shifted and the Change value could not be header-aligned"
sp4029_apollo_by_the_numbers,"LM powered descent (DPS cutoff), Apollo 15",6813,ft/sec,p213 lunar-orbit table; duration 739.2 s (~2.08 km/s),"DISCREPANCY: our delta_v_segments.csv 'LLO → lunar surface' row carries 1870 m/s — measured flight value is +11% HIGHER"
sp4029_apollo_by_the_numbers,"LM powered descent (DPS cutoff), Apollo 16",6703,ft/sec,p241 lunar-orbit table; duration ~734 s (~2.04 km/s),"DISCREPANCY: +9% above our row's 1870 m/s"
sp4029_apollo_by_the_numbers,"LM powered descent (DPS cutoff), Apollo 17",6698,ft/sec,p267 lunar-orbit table; duration 721 s (~2.04 km/s),"DISCREPANCY: +9% above our row's 1870 m/s — three independent missions all measure ~2.04–2.08 km/s"
sp4029_apollo_by_the_numbers,"LM ascent orbit burn (cutoff), Apollo 14",6066.1,ft/sec,p185 lunar-orbit table; duration 432.1 s (~1.85 km/s),"component anchor for the 'Lunar surface → LEO' return rows"
sp4029_apollo_by_the_numbers,"LM ascent orbit burn (cutoff), Apollo 15",6059,ft/sec,p213 lunar-orbit table; duration 431.0 s (~1.85 km/s),"AGREEMENT-class with the ~1.85 km/s ascent component"
sp4029_apollo_by_the_numbers,"LM ascent orbit burn (cutoff), Apollo 17",6075.7,ft/sec,p267 lunar-orbit table; duration 441 s (~1.85 km/s),"AGREEMENT-class with the ~1.85 km/s ascent component"
sp4029_apollo_by_the_numbers,"TEI (transearth injection cutoff), Apollo 8",3519,ft/sec,p56 transearth table (~1.07 km/s),"CSM TEI from LLO — context for the return-leg rows; NOT a Mars value"
sp4029_apollo_by_the_numbers,"TEI (transearth injection cutoff), Apollo 11",3279,ft/sec,p114 transearth table (~1.00 km/s),"CSM TEI from LLO — context for the return-leg rows; NOT a Mars value"
sp4029_apollo_by_the_numbers,"TEI (transearth injection cutoff), Apollo 17",3046.3,ft/sec,p267 transearth table (~0.93 km/s),"CSM TEI from LLO — context for the return-leg rows; NOT a Mars value"
dra5_2009_human_exploration_of_mars,"Average total interplanetary delta-V, conjunction-class missions","≈ 7 ± 1",km/s,p62 verbatim: 'the average total delta-V was approximately 7 km/s ± 1 km/s',"TOTAL-level anchor for the Mars rows; our TMI+MOI+TEI-from-LMO sum ≈ 6.6 km/s falls inside this envelope (our rows take minimum-energy low-end values — flagged as a lower bound in the CSV note)"
dra5_2009_human_exploration_of_mars,"Average total interplanetary delta-V, opposition-class missions","≈ 10 ± 3.7",km/s,p62 verbatim: 'Variation of delta-V across the synodic cycle for Opposition-class missions is nearly 100% with an average total delta-V of 10 km/s ± 3.7 km/s',"TOTAL-level anchor; per-burn split lives in Figure 4-2 (raster chart, no data-value text layer — vision + pixel-trace both failed from this machine)"
dra5_2009_human_exploration_of_mars,"Figure 4-2 extractable content","axis ticks 0–4.5 km/s; series TMI / MOI / TEI (crew) and TMI-aerocapture-MOI / TMI-propulsive-MOI / MOI (cargo)",—,p37 figure text layer,"NO per-line data values are in the extractable text — row-level Mars Δv remains figure-dependent until OCR-capable extraction"
