Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,our_wacc_value,delta_bps_vs_ours_computed
Advertising,52,1.21,9.35%,71.33%,62.91%,5.29%,5.02%,3.97%,28.67%,7.81%,0.100,+219.0
Aerospace/Defense,79,0.95,8.17%,86.53%,46.45%,5.29%,11.58%,3.97%,13.47%,7.60%,0.100,+240.0
Air Transport,23,1.19,9.24%,52.31%,59.00%,5.29%,8.29%,3.97%,47.69%,6.72%,0.100,+328.0
Apparel,35,0.94,8.12%,76.17%,46.26%,5.29%,9.61%,3.97%,23.83%,7.13%,0.100,+287.0
Auto & Truck,33,1.46,10.45%,83.55%,61.83%,5.29%,3.74%,3.97%,16.45%,9.38%,0.100,+62.0
Auto Parts,35,1.34,9.92%,70.69%,49.87%,5.29%,15.00%,3.97%,29.31%,8.18%,0.100,+182.0
Bank (Money Center),15,0.76,7.34%,37.85%,22.74%,4.73%,18.43%,3.55%,62.15%,4.98%,0.100,+502.0
Banks (Regional),568,0.40,5.73%,65.75%,22.68%,4.73%,17.61%,3.55%,34.25%,4.98%,0.100,+502.0
Beverage (Alcoholic),14,0.81,7.57%,69.76%,55.96%,5.29%,12.35%,3.97%,30.24%,6.48%,0.100,+352.0
Beverage (Soft),27,0.64,6.81%,82.93%,57.89%,5.29%,6.85%,3.97%,17.07%,6.33%,0.100,+367.0
Broadcasting,24,0.47,6.05%,53.81%,46.62%,5.29%,7.73%,3.97%,46.19%,5.09%,0.100,+491.0
Brokerage & Investment Banking,32,1.17,9.17%,42.45%,36.61%,5.07%,15.27%,3.80%,57.55%,6.08%,0.100,+392.0
Building Materials,41,1.11,8.91%,79.37%,35.28%,5.07%,18.02%,3.80%,20.63%,7.85%,0.100,+215.0
Business & Consumer Services,155,0.89,7.91%,83.53%,41.11%,5.07%,10.38%,3.80%,16.47%,7.23%,0.100,+277.0
Cable TV,9,0.74,7.25%,40.50%,44.04%,5.07%,10.64%,3.80%,59.50%,5.20%,0.100,+480.0
Chemical (Basic),29,1.01,8.46%,50.16%,45.81%,5.29%,7.68%,3.97%,49.84%,6.22%,0.100,+378.0
Chemical (Diversified),4,0.85,7.74%,36.22%,39.04%,5.07%,0.00%,3.80%,63.78%,5.23%,0.100,+477.0
Chemical (Specialty),59,0.97,8.28%,76.99%,42.31%,5.07%,13.68%,3.80%,23.01%,7.25%,0.100,+275.0
