item,report,page,value_as_printed,verbatim_fragment_or_derivation,related_spacecost_row,delta_vs_our_value,verdict
Space Shuttle operations cost per launch (commercial services contract era),IG-24-001,p23,$1.45B/launch (+~38% vs NASA-managed),we estimate Space Shuttle operations costs increased approximately 38 percent to $1.45 billion per launch.,launch_vehicles.csv 'Space Shuttle' row (high end $2.1B; note '~$1.5B in 2011 dollars'),vs high end -31.0%; vs the note's ~$1.5B claim -3.3% -> value corroborated by a registered institutional source even though the P&B citation is a misattribution (R51),"first institutional anchor for the Shuttle whole-programme cost; scope = operations under the 1996 commercial services contract, not dev amortization"
Falcon Heavy NASA launch-services contract (Europa Clipper),IG-24-001,p24,$178M,the Agency contracted with Space X for a Falcon Heavy rocket at a cost of $178 million.36 In the near ter,"launch_vehicles.csv 'Falcon Heavy (expendable)' row ($154M centre, $150-159M band)",vs centre +15.6%; vs band high +11.9%,revision candidate: institutional price sits ABOVE our whole band; scope = full launch services for a TMI-class mission (2023$)
"RL10 engine unit cost, Artemis II-IV contract",IG-24-001,p17 Table 1,$6.89M/engine ($68.9M / 10 engines),RL10 Engines Aerojet 10 flight engines for Artemis II through IV $68.9M,operational_costs.csv 'Propellant tank recurring cost' row (assumes ~$20M RL10 in the Centaur III $30M stage),vs our assumption -65.5%,engine is far cheaper than assumed -> implied stage structure rises from $10.0M to ${struct_a/1e6:.1f}M
RL-10 engine purchase price (Block 1B era),IG-22-003,p32,$10.8M/engine; Block 1B upper-stage engines +$32.4M total,"NASA purchases the RL-10 engines on a contract separate from the Stages and Stages Production and Evolution Contract contracts at a cost of $10.8 million each; therefore, the cost for the Block 1B upper stages engines will rise approximately $32.4 million.",same tank-row derivation (second independent OIG figure),vs our assumption -46.0%,two OIG vintages bracket $6.9-10.8M/engine; both far below the ~$20M assumed
Implied Centaur III stage structure (if stage = $30M),derived from IG-24/IG-22 engine actuals,-,"$23.1M ($12,293/kg on ~1880 kg) to $19.2M ($10,213/kg)",stage_c3 - rl10_engine (both OIG vintages),"operational_costs.csv 'Propellant tank recurring cost' value=6,000 quoted as a LOWER BOUND","structure +131% to +92% vs the $10M old derivation; implied rate $10,213-$12,293/kg is ~2x our row value",revision candidate pending an institutional anchor for the Centaur III stage price itself (~$30M still unanchored - honest gap); note's engine assumption was 46-65% too high
"SLS Block 1B element costs per launch (Table 1, as of May 2023)",IG-24-001,p17,EUS IV $482M; core+long-lead+EUS V/VI ~$1.0B; SRBs $336.2M; RS-25 restart $582.7M (=$24.3M/engine over 24); RL10 $68.9M; USA $19.9M; TOTALS $2.5B per launch / $20.4B contract value,RL10 Engines Aerojet 10 flight engines for Artemis II through IV $68.9M || Exploration Upper Stage for Artemis IV $482M ,launch_vehicles.csv SLS rows; context for the '$2.5B recurring floor' already pinned in R51,"element-level breakdown of the $2.5B: upper stage ~$0.98-1.0B, core ~$0.5B, SRBs $336M, engines $0.65B",criterion #2 completion: full Table 1 now extracted
SRB per-launch cost trajectory,IG-24-001,p19,$470M -> $336M by Artemis IV,"booster costs are projected to decrease by 29 percent from $470 million to $336 million by the time Artemis IV launches; however, th",context for SLS rows (boosters are the one element with real cost reduction),computed -28.5% vs the report's own '29 percent',-
RS-25 engine costs: Shuttle-era mfg vs new production,IG-24-001,p17+p19,$104.5M (Shuttle-era manufacturing cost) vs $24.3M/engine under Restart & Production ($582.7M/24),$104.5 million cost per RS-25 Shuttle engine.,context: why SLS production stays >$2B for the first 10 rockets,new engines -76.8% vs Shuttle-era cost,-
"EPOC total contract projection (10 launches, at least once/year)",IG-24-001,p7,$25B over 10 years; $2.5B average production per Block 1B,"our cost projections show the total contract value for 10 launches could reach $25 billion over a 10-year period, making this NASA’s most expensive Moon to Mars endeavor.3 Howeve",SLS rows: the >$2B floor for first 10 rockets (R51 pin) extended to program scale,footnote: 'NASA's most expensive Moon to Mars endeavor',-
Artemis campaign total FY2012-FY2025 + SLS share,IG-24-001,p7,$93B total; SLS program = 26% ($23.8B),"NASA’s total Artemis campaign costs are projected to reach $93 billion from fiscal year 2012 through 2025, with SLS Program costs representing 26 percent ($23.8 billion) of t","program context for all SLS/Orion rows (also in IG-22-003 p4/p25: $93B, earlier OIG estimate $86B FY12-FY25)",both reports agree on $93B,mutual validation across the two audits
Data-rights duplication costs,IG-24-001,p21,>$4.5B + 10 years (core+EUS); >$3B (RS-25/RL10 class engines),the cost to duplicate the core stage and Exploration Upper Stage without obtaining data rights would exceed $4.5 billion and add 10 years to the schedule according to the JOFOCs used for the Stages Production and Evolution Contract and Exploration Upper Stage.,context: why SLS cannot be competed away cheaply; bounds any 'second-source' scenario in the launch table,-,-
Atlas V commercial price dynamics under F9 competition,IG-24-001,p20,+~$50M/launch (LSP I->II) then -~$30M/launch once Falcon 9 v1.1 could compete (from 2012),"the Atlas V base launch service price increased by approximately $50 million per launch.31 However, once SpaceX’s Falcon 9 v1.1—the upgraded and more powerful version equipped with a payload fairing—became eligible to compete for NASA launch contracts in 2012 and flew its inaugural flight in 2013, the cost of the Atlas V decreased approximately $30 million per launch.",context for the commercial-vs-government price gap that our $/kg columns encode,-,-
Crew seat prices: SpaceX vs Russia,IG-24-001,p19,$55M (SpaceX) vs $80M (Roscosmos) per ISS seat,NASA paid $55 million per seat to SpaceX versus the $80 million per seat for missions to and from the Station provided by Russia’s space agency.,context for crewed-launch pricing; pairs with zapata_2017's cargo-side gap figures,-,-
Orion development contract growth,IG-22-003,p63,"base $3.9B (Aug 2006, Constellation) -> $13.8B by Aug 2021; Production & Operations Contract $2.7B (~$1B per capsule + $300M ESA SM barter)","The base contract, awarded in August 2006 under the now-defunct Constellation Program, was originally worth $3.9 billion. As of August 2021, the contract value had grown to $13.8 billion.",context for the ~$4.1B/flight figure's Orion component (pinned R51),-,-
HLS funding gap and sole-source SpaceX award,IG-22-003,p15,FY2021: $850M received vs $3.4B requested -> single provider selected; firm-fixed-price contract potential total ~$2.9-3.0B (initial awards: Blue Origin $479.7M / Dynetics $239.7M / SpaceX $139.6M),"in FY 2021 NASA received $850 million in HLS funding from Congress, substantially less than the $3.4 billion it requested.",context for lunar lander economics (not in our tables; recorded per criterion #2),-,-
