source,item,value_or_figure,basis_period,delta_vs_our_row_pct,note
JPL DSN Services Catalog 820-100 Rev H (Jun 6 2022),hourly rate base RB at publication,"$1,792/hr",as of Jun-2022 issue date,,"p66: 'the DSN contact dependent hourly rate (RB) was $1,792'"
JPL DSN Services Catalog 820-100 Rev H (Jun 6 2022),fee algorithm,AF = RB x AW x MW,,,eq 6-1 p65; AW=1.0 single 34-m / 2.0 two-station array+DDOR / 3.0 three-array or any 70-m / 4.0 four-array; MW=1.0 (0.5 downlink-only)
JPL DSN Services Catalog 820-100 Rev H (Jun 6 2022),computed 34-m rate,"$2,082/hr",BLS CPI-U 2026-08 actual / H1-2022 avg (288.347),-26.5,"our value $1,530/hr is LOW; our range [1000-4000] DOES bracket the computed rate"
JPL DSN Services Catalog 820-100 Rev H (Jun 6 2022),computed 34-m rate (YTD basis),"$2,061/hr",BLS CPI-U 2026 YTD avg (8m) / H1-2022,-25.8,robustness check — same conclusion
JPL DSN Services Catalog 820-100 Rev H (Jun 6 2022),computed 70-m rate,"$6,245/hr","$1,792 x AW=3.0, BLS 2026-08 / H1-2022",-36.0,our note's '~$4k/hr' for 70-m is LOW
JPL DSN Services Catalog 820-100 Rev H (Jun 6 2022),note's own method re-derived,"FY09 $1,057 x 1.4570 (WB chain 2009..2024) = $1,540/hr",World Bank USA annual CPI inflation actuals,-0.65,"our $1,530 is internally consistent with the note's own FY09->CPI method (delta -0.65%) BUT that method rests on the superseded MOCS FY09 rate; Rev H's official RB=$1,792 supersedes it"
JPL DSN Services Catalog 820-100 Rev H (Jun 6 2022),BLS vs WB cross-validation,BLS Dec-2016->Dec-2024 x1.3072 vs WB chain x1.3070,common window 2017..2024,,agreement 0.017% — both chains trusted
Gallagher Plane Talking Space Market Update (Q4-2023 + Q1-2024),2023 underwriting result,loss ~USD900mn vs premium income ~USD550mn (+further USD230mn loss Dec 2022),calendar 2023,,Q1-2024 issue — the document our note cites
Gallagher Plane Talking Space Market Update (Q4-2023 + Q1-2024),premium direction,"insurers: ""premium rating needs to increase significantly""; 3yr/5yr avg loss ratios 100-110%",early 2024,n/a (no % figure in source),"our value 10% is DIRECTIONALLY corroborated, NOT numerically pinned — no explicit launch-premium-% figure found in any issue pulled"
Gallagher Plane Talking Space Market Update (Q4-2023 + Q1-2024),what drove the 2023 rating reset,"claims ~USD826m H2-2023; >85% of 2023 losses from post-separation spacecraft issues (Viasat-3, Inmarsat 6-F2) 'rather than launch failures'",H2 2023,,Q4-2023 issue
Gallagher Plane Talking Space Market Update (Q4-2023 + Q1-2024),FACTUAL ERROR in our note,"our note: premiums rose ""~10% post-Intelsat 33e loss""",,,"IS-33e broke up IN GEO on Oct 19 2024 (US Space Forces/SpaceTrack via Newsweek; Boeing-built, launched Aug 2016) — AFTER the Q1-2024 issue and an in-orbit failure, not a launch loss. The Dec-2023-era rating reset was driven by Viasat-3 + Inmarsat 6-F2 post-separation losses per Plane Talking itself."
