source_id,item,value,unit,location_in_source,notes
kretlow_2022_rosa_mass_density,Rosa mass estimate 1 (encounter-based),5.32 +/- 2.17 x 10^17,kg,p.1 abstract,one of two independent estimates from gravitational deflection of test asteroids in close encounters
kretlow_2022_rosa_mass_density,Rosa mass estimate 2 (independent encounter),3.15 +/- 1.14 x 10^17,kg,p.1 abstract,second independent determination; weighted mean = (3.62 +/- 1.25) x 10^17 kg
kretlow_2022_rosa_mass_density,Rosa effective diameter D,83 +/- 8,km,p.1 + Sec.2,EVM-based diameter adopted for the density derivation; pV < 0.05 (very dark)
kretlow_2022_rosa_mass_density,Rosa BULK DENSITY (headline result),1.2 +/- 0.5,g/cm^3,p.1 abstract + p.4,FIRST direct bulk-density measurement of a confirmed Tholen P-type; paper states it is 'consistent with typical densities for Tholen taxonomy P-type asteroids'. simda2024 has ZERO measured bodies in class P — this fills that gap.
kretlow_2022_rosa_mass_density,Contradiction vs our catalog.py P-row (1.80),-,-,p.1 + p.3,Our P-row density_est_gcm3=1.80 matches the PRE-2022 literature value Kretlow explicitly says 'did not match very well' this classification (p.1). The 2022 astrometric measurement pulls it to ~1.2 — a revision candidate for catalog.py P-row; NOT applied (target repo read-only).
kretlow_2022_rosa_mass_density,Typical Tholen P-type density cited by paper,~1.3,g/cm^3,p.3,the reference line the authors compare Rosa against ('typical density rho ~ 1.3 g cm^-3 for Tholen taxonomy P-')
marschall_2025_67p_refractory_ice_ratio,Refractory-to-ice ratio chi constraint,0.5 < chi < 1.7,-,p.1 abstract,constrained from composition alone (ROSINA volatile/ice + COSIMA refractory measurements combined via Monte Carlo); the free parameter constrained a posteriori
marschall_2025_67p_refractory_ice_ratio,Bulk water mass fraction range,28 to 52,% by mass,p.5,28% at chi=1.7 (chondritic upper case) to 52% at chi=0.5; preferred median case chi~1.1 gives ~35-40 wt% water — matches Bitsch & Battistini (2020) solar-type prediction of 35%
marschall_2025_67p_refractory_ice_ratio,Oxygen in water vs anhydrous,chi < 1.1,-,p.5,oxygen is solar only when chi ~ 1.1 (median case); O atoms split evenly between water and anhydrous at that value
marschall_2025_67p_refractory_ice_ratio,Xenon abundance constraint,chi = 1.35 upper,-,p.15,Xe slightly sub-solar by ~30% when chi=1.35; Xe near solar in median case — independent noble-gas cross-check on the ratio
marschall_2025_67p_refractory_ice_ratio,Formation region of 67P (composition-driven),25 to 35,AU,p.1-2,protoplanetary disk location from Kr/Xe noble-gas fractionation + temperature model; 'solely driven by composition' — supports D/T/P rows as outer-belt / primitive end-members
marschall_2025_67p_refractory_ice_ratio,Refractory component zeroth-order make-up,"equal parts H, C, N, O (refractory)",-,p.3,zeroth-order refractory composition used in the Monte Carlo; COSIMA-derived dust is organics + silicates
rubin_2019_67p_abundances,Bulk ice CO2/H2O,4.7 +/- 1.4,mol/mol (per water),Table 2 p.13,deduced bulk composition of the ices normalized to H2O=100 for May 2015 period
rubin_2019_67p_abundances,Bulk ice CO/H2O,3.1 +/- 0.9,mol/mol (per water),Table 2 p.13,same table; hemispheric split at 3.1 au: N=2.7 / S=20
rubin_2019_67p_abundances,Bulk ice O2/H2O,3.1 +/- 1.1,mol/mol (per water),Table 2 p.13,molecular oxygen; independent Bieler et al. 2015 value 3.80+/-0.85
rubin_2019_67p_abundances,Bulk ice CH4/H2O,0.34 +/- 0.07,mol/mol (per water),Table 2 p.13,methane; C2H6 = 0.29+/-0.06 and H2CO = 0.32+/-0.10 in same table
rubin_2019_67p_abundances,Bulk ice CH3OH/H2O,0.21 +/- 0.06,mol/mol (per water),Table 2 p.13,methanol; hemispheric N=0.31 / S=0.55 at 3.1 au
rubin_2019_67p_abundances,Elemental O/Si and C/Si vs solar,near-solar,-,Table 4 + p.20,"combined elemental ratios (with Bardyn et al. 2017 refractory): near-solar O/Si, C/Si; N/Si DEPLETED — same pattern as 1P/Halley"
rubin_2019_67p_abundances,Nitrogen carriers in volatiles,NH3 > N2 > HCN,-,p.20,major contributor NH3 followed by N2 then HCN (incl. HNC); total volatile N better quantified than Halley via detailed N2 measurement
kretlow_2022_rosa_mass_density,SYNTHESIS: P-class density gap closed,-,-,whole paper,simda2024 class-P row = 0 measured bodies; Rosa gives the first direct Tholen-P bulk density (1.2+/-0.5). Our catalog.py P-row 1.80 is now OUTDATED — revision candidate recorded in FINDINGS + registry pipeline_mapping.
