mission,dry_lb,fuel_lh2_lb,oxidizer_lox_lb,other_lb,total_lb,delta_dry_only,delta_incl_other,note
A7,21852,39909,193330,1432,256523,0.08566,0.09077,
A8,25926,43395,192840,1626,263787,0.09889,0.10445,
A9,25089,43709,189686,1667,260151,0.09706,0.10285,
A10,25680,43388,192089,1684,262841,0.09833,0.10411,
A11,24852,43608,192497,1656,,0.09523,0.10094,total cell illegible in scan (OCR split); component sum 262613 lb used as check value
A12,25064,43663,190587,1873,,0.09666,0.10313,total cell illegible in scan (OCR split); component sum 261187 lb used as check value
A13,25097,43657,191890,1673,262317,0.09629,0.10205,
A14,25030,43546,190473,1687,260736,0.09662,0.10247,
A15,25198,43674,195788,1655,266315,0.09521,0.10083,
A16,25099,43727,195372,1643,265841,0.09500,0.10059,
A17,25040,43752,195636,1658,266086,0.09469,0.10034,
