domain_dir,id,tier,short_title,journal_or_series,year,doi_or_url,authors_short,access_status,pipeline_mapping
01_density_and_population,carry2012,T1,Density of asteroids,Astronomy & Astrophysics (arXiv preprint hosted),2012,https://doi.org/10.1051/0004-6361/201118753 / arXiv:1203.4336,"Carry, B.; Enke, H.L.; et al.",full_text_hosted,TAXONOMY_COMPOSITION densities (all 32 types); porosity limitation note; S/C rows gain a real citation
01_density_and_population,simda2024,T3,"Size, Mass and Density of Asteroids (SiMDA)",live web archive + PDS SBN dataset; EPSC-2020 abstract DOI 10.5194/epsc2020-690,2024,https://astro.kretlow.de/simda/catalog/?_export=csv / https://sbn.psi.edu/pds/resource/density.html,"Kretlow, M.",open_not_pulled (live service; derived per-class stats committed),TAXONOMY_COMPOSITION densities: median-based anchors for all 20 classes with measurements; B/L/K rows flagged low
01_density_and_population,dziadura2023,T1,The Yarkovsky effect and bulk density of NEAs from Gaia DR3,"Astronomy & Astrophysics 680, A77 (CC-BY-4.0)",2023,https://doi.org/10.1051/0004-6361/202347342,"Dziadura, M.; Oszkiewicz, P.; Spoto, F.; Carry, B.; Tanga, W.",open_not_pulled (OA but publisher bot-blocks this machine),TAXONOMY_COMPOSITION densities for NEA-relevant types; largest peer-reviewed density sample of the target population
01_density_and_population,lodders_palme2009,T2,Solar System Elemental Abundances in 2009 (CI chondrite table),"72nd Meteoritical Society Meeting abstract, LPI-hosted PDF",2009,https://lpi.usra.edu/meetings/metsoc2009/pdf/5154.pdf,"Lodders, K.; Palme, H.",full_text_hosted,PGM baseline: CI bulk-rock PGM total 3.29 ppm -> ~37 ppm in metal phase validates catalog.py header claim
01_density_and_population,epsc2022_context,T2,Composition of large asteroids collided with the Earth (EPSC-2022),Europlanet Science Congress abstract,2022,https://doi.org/10.5194/epsc2022-106 / https://meetingorganizer.copernicus.org/EPSC2022/EPSC2022-106.html,(see abstract page),open_not_pulled (Copernicus login wall; abstract via Crossref),context for PGM_ENRICHMENT_BY_TYPE differentiation argument
01_density_and_population,harris2015,T1,The population of near-Earth asteroids,Icarus 257:302-312 (paywalled; abstract recorded),2015,https://doi.org/10.1016/j.icarus.2015.05.004,"Harris, A.W.; D'Abramo, G.",open_not_pulled (Elsevier bot-blocks this machine; superseded by harris_dabramo_2021 for any figure),NEA size-frequency completeness method (re-detection ratio) — the peer-reviewed basis for stating catalog-completeness assumptions behind every per-type average in domain 1
01_density_and_population,harris_dabramo_2021,T1,The population of near-earth asteroids revisited and updated,Icarus (OA; Elsevier PDF endpoint bot-blocks this machine),2021,https://doi.org/10.1016/j.icarus.2021.114452,"Harris, A.W.; D'Abramo, G.",open_not_pulled (is_oa=true per OpenAlex; pullable from a normal browser like dziadura2023),"CORRECTED NEA population estimate (fixes MPC H-rounding error in harris2015); census boundary = discoveries through 2020-08-03, pair with catalog_date on output CSVs"
01_density_and_population,adam_2017,T1,Volumes and bulk densities of forty asteroids from ADAM shape modeling,Astronomy & Astrophysics (OA; A&A bot-blocks this machine — same class as dziadura2023),2017,https://doi.org/10.1051/0004-6361/201629956,see paper for full author list (ADAM collaboration),"open_not_pulled (aanda.org direct PDF route 403 from this machine; abstract recorded via OpenAlex — truncated at Context section, pull the full version with a browser)","peer-reviewed bulk densities of 40 asteroids derived from ADAM shape models + lightcurves/occultations — an independent per-body density sample that can be joined to taxonomic class for another check on TAXONOMY_COMPOSITION (esp. D-types, which carry2012 never measured)"
01_density_and_population,wilkinson_robinson_2000,T1,"Wilkinson & Robinson, 'Bulk density of ordinary chondrite meteorites and implications for asteroidal internal structure'",Meteoritics & Planetary Science 35(6):1479-1488,2000,https://doi.org/10.1111/j.1945-5100.2000.tb01509.x,"Wilkinson, Robinson",open_not_pulled (Wiley bot-blocks this machine; no preprint found),"S-type meteorite-side density anchor: H=3.44±0.19 / L=3.40±0.15 / LL=3.29±0.17 g/cm^3 measured on hand samples (82 samples, ~1% accuracy); intra-group spread 3.0-3.8 at near-invariant composition => density tracks porosity/texture not chemistry within a group; the gap vs carry2012's S-type asteroid median ~2.70 is km-scale macro-porosity/rubble structure — exactly what our table encodes (S=2.70). Cite alongside carry2012 Table 3 for any S/Sl/Sk discussion."
01_density_and_population,siltala_granvik_2021,T1,"Siltala & Granvik, 'Mass and Density of Asteroid (16) Psyche' — Astrophysical Journal Letters 913:L7, DOI 10.3847/2041-8213/abe948 | arXiv:2103.01707 preprint hosted",ApJL,2021,https://doi.org/10.3847/2041-8213/abe948,"Siltala, Granvik",full_text_hosted (arXiv:2103.01707 preprint; IOP article page bot-blocks this machine),M-row density anchor: bulk density of 16 Psyche = 3.88 +/- 0.25 g/cm^3 from mass estimate (method validated against Dawn's Ceres/Vesta masses) + latest volume. RULES OUT an exposed solid iron core; consistent with ferrovolcanism / metal-silicate mix. This is the measurement behind our M-row revision to density_est_gcm3=3.90 and metal_fraction=0.50 (catalog.py v1.0.8 note cites exactly this paper).
01_density_and_population,kretlow_2022_rosa_mass_density,T1,"Kretlow, 'An astrometric mass estimate for asteroid (223) Rosa' — first direct bulk-density measurement of a confirmed Tholen P-type; gravitational deflection of test asteroids in 3 close encounters","Astronomy & Astrophysics 668:A141 (arXiv:2210.03993v1 hosted, CC-BY)",2022,https://doi.org/10.1051/0004-6361/202243968,Kretlow,full_text_hosted (arXiv:2210.03993v1; A&A CC-BY 4.0),"P-row density anchor: M = (5.32+/-2.17)e17 and (3.15+/-1.14)e17 kg from two independent encounters, weighted mean (3.62+/-1.25)e17 kg; with D = 83+/-8 km gives bulk density rho = 1.2 +/- 0.5 g/cm^3 — 'consistent with typical densities for Tholen taxonomy P-type asteroids' (p.1 abstract + p.4). simda2024 has NO measured bodies for class P; this is the first direct P-class density and CONTRADICTS our catalog.py P-row value 1.80 g/cm^3 (which matches the pre-2022 literature value Kretlow says 'did not match very well' — p.1). Revision candidate: P-row density_est_gcm3 -> ~1.2; NOT applied (target repo read-only)."
