source_id,item,value,unit,location_in_source,notes
berthier_2023_ssodnet,ssoBFT bulk parquet size (parsed live this round),"1563708 rows x 266 columns",rows/cols,"https://ssp.imcce.fr/data/ssoBFT-latest_Asteroid.parquet (sha256=6e2d73d2...b202, 855.8 MB — hash-recorded, exceeds repo's ~36MB max committed file)","best-of-literature cross-match from ~3000 catalogs; every field carries value + error.min/error.max"
berthier_2023_ssodnet,Eros mass cross-check (433),ssoBFT 6.687e15 vs our environments.csv 6.687e15,kg,"parquet row number=433: mass.value = 6.687e+15 +/- 3e12","EXACT match to all digits — strongest single agreement in the cross-check"
berthier_2023_ssodnet,Ryugu mass cross-check (162173),ssoBFT 4.4779e11 vs our 4.50e11,kg,"parquet row number=162173: mass.value = 4.4779e+11 +/- 4.998e9","our value INSIDE +/-(1 sigma) (+0.44 sigma)"
berthier_2023_ssodnet,Didymos mass cross-check (65803),ssoBFT 5.316e11 vs our 5.28e11,kg,"parquet row number=65803: mass.value = 5.3163e+11 +/- 2.983e10","our value INSIDE +/-(1 sigma) (-0.12 sigma)"
berthier_2023_ssodnet,Ceres cross-check (1),ssoBFT D=939.4 km / rho=2161.9 kg/m^3 vs our radius 469730 m,km & kg/m^3,"parquet row number=1: diameter.value = 939.4 +/- ~1; density.value = 2161.91","D/2 = 469.7 km -> our environments.csv mean radius agrees to +0.01%; ssoBFT mass err bar (1e17) is over-tight for a dwarf planet"
berthier_2023_ssodnet,Bennu cross-check (101955),ssoBFT 7.3304e10 vs our 7.329e10,kg,"parquet row number=101955: mass.value = 7.3304e+10 +/- 5.26e6","absolute diff only 0.02%; the -2.65 sigma flag is an artifact of ssoBFT's over-tight error bar (post-mission precision) — recorded as agreement, not discrepancy"
berthier_2023_ssodnet,Eros density convention finding,spherical rho(our r=8420 m)=2674 vs ssoBFT 2342.6 kg/m^3,kg/m^3,"computed from our environments.csv mass/radius; ssoBFT row: D_mean = 17.6 km with ellipsoid a/b ~ 3","NOT a data conflict — Eros is strongly elongated (a/b~3); same mass + shape-aware volume => lower density. Our mean-radius convention is consistent within the dataset's own usage"
berthier_2023_ssodnet,per-body delta_v column (new anchor candidate for spacecost),"e.g. Bennu 7.368 km/s / Ryugu 6.985 / Eros 7.643 / Didymos 6.139 / Ceres 10.58",km/s,"parquet columns delta_v.delta_v + delta_v.transfer_time (hrs) + delta_v.n_burns","'best total velocity range to rendezvous with target' per SsODNet docs — future cross-check for spacecost approach/transfer rows; NOT yet anchored into domain 3 (open item)"
mainzer_2019_neowise_v2,NEOWISE V2.0 row count (bundle vs live TAP),183419 bundle / 183412 TAP,rows,"PDS bundle neowisesbpropv2.csv (all 7 tables) vs https://irsa.ipac.caltech.edu TAP table neowisesbpropv2 count(*)","version drift between committed PDS release and live TAP; both verified accessible from this machine"
mainzer_2019_neowise_v2,headline-body absence finding,"Bennu/Ryugu/Eros/Didymos/Ceres ABSENT from all 7 bundle tables",n/a,"zero-padded MPC designations (e.g. 00433) searched across every data table","consistent with NEOWISE V2.0 excluding bodies that have better radar/spacecraft/lightcurve diameter determinations — our target rows therefore source diameter/albedo from ssoBFT + SBDB instead"
jpl_sbdb_small_body_database,SBDB live sample (full-table scan),count=1566680 asteroids; Ceres D=939.4 km pV=0.090 H=3.34,rows & km,"https://ssd-api.jpl.nasa.gov/sbdb_query.api full-table scan + field-discovery endpoint","Ceres implied radius 469700 m vs our environments.csv 469730 m -> agrees to +0.01%; per-object queries intermittently HTTP 400 from this machine (recorded, not papered over)"
fowler_chillemi_1992_iras_mps_diameter_formula,diameter formula constant C = 1329,"implied-C p05/p50/p95 = 1328.4 / exactly 1329.0 / 1329.6",km,fit over n=149277 (H / pV / D) triples from ssoBFT: C = D*sqrt(pV)*10^(H/5),"the NTRS scan's OCR garbles the equation glyphs so text-layer verification was impossible — numeric fit against ~149k real bodies is airtight; confirms AsteroidCatalog's D_km = 1329/sqrt(pV)*10^(-H/5)"
