source_id,item,value,unit,location_in_source,notes
elkins_tanton_2020_psyche_preflight,Predicted metal volume fraction of (16) Psyche,~25 to ~60,vol%,p.10 Sec 2.5 verbatim: 'Psyche is predicted to have between ~25 vol% metal (point D in Figure 3) and ~60 vol% metal',"THE peer-reviewed band behind catalog.py's M-row; our mass fractions (metal 0.50 / silicate 0.45) convert to ~34 vol% metal at rho_metal~7.8 vs rho_sil~3.6 g/cm^3 - INSIDE the band, row agrees"
elkins_tanton_2020_psyche_preflight,Point D composition (low-metal end of prediction),~25 / ~55 / ~20,vol% metal / magnesian pyroxene / pore space,"p.10 Sec 2.5 verbatim: 'Point D marks ~25 vol% metal, ~55 vol% nonmetal component with density consistent with magnesian pyroxene, and ~20% pore space'",porosity is a first-order composition term - supports keeping ice_fraction=0 but flags that M-row porosity is unmodeled in TAXONOMY_COMPOSITION
elkins_tanton_2020_psyche_preflight,Surface metal/silicate endmember interpretations (spectral),90/10 down to 100/0,wt% metal / wt% orthopyroxene,"p.9 verbatim: 'a mixture of 90 wt.% metal and 10 wt.% orthopyroxene (Hardersen et al., 2011), only 6 wt.% orthopyroxene (Sanchez et al., 2017), and even a strictly metal powder (Fornasier et al., 2010)'",surface-only - bulk M-row is lower; pairs with nat_dms2023's 85/15 surface figure as the high end of the range
elkins_tanton_2020_psyche_preflight,Retained silicate veneer scenario (stripped-core model),25 to 80,km,"p.13 verbatim: 'if it retains 25 to 80 km of silicate rock on its surface (Johnson et al., 2019)'",formation-scenario context for why a metal-rich M-type is not bare core
elkins_tanton_2020_psyche_preflight,Meteorite-analog density table vs Psyche,"iron 7,000-8,000 / pallasite 4,100-7,800 / mesosiderite 3,100-7,200",kg/m^3,"p.10 Sec 3 verbatim (Psyche range 3,400-4,100 kg/m^3 from Table 2)",the density argument that rules out a solid-metal M-type - the physical basis for catalog.py's v1.0.8 revision
elkins_tanton_2020_psyche_preflight,CB chondrite metal abundance (high-metal carbonaceous endmember),~60,vol%,"pp.11-12 verbatim: 'The CB meteorites are comprised of ~60 vol% metal (Krot et al., 2005)' + skeletal olivine Fa2-4 / cryptocrystalline pyroxene Fs2",context for Xc/Cb rows (metal-rich carbonaceous mix) - our Cb row carries only 1% metal; if CB-like bodies populate the belt this is a candidate revision
elkins_tanton_2020_psyche_preflight,Pallasite composition (M-type analog class),olivine ~65 vol%; Ni in Fe-Ni metal ~9-12 wt%,vol% / wt%,"p.11 verbatim: 'Olivine makes up an average of 65 vol% of pallasites (Buseck, 1977)' + 'average Ni concentration of ~9-12 wt.%'",metal-silicate mix class relevant to X-complex; density matches Psyche
reddy_asteroids_iv_mineralogy,A-type asteroid mineralogical endmember,monomineralic olivine Fo85-93,mol% forsterite,"p.8 verbatim: 'olivines (Fo85-93) to the sample suite... This equation is designed to be used with A-type asteroids, which have a weak or nearly absent 2-m feature consistent with a monomineralic olivine composition'",anchors our A-row minerals list [olivine] + metal_fraction=0.05 (monomineralic = essentially no free metal)
reddy_asteroids_iv_mineralogy,R chondrite olivine abundance,65-78,vol% olivine,p.9 verbatim: 'the R chondrites... contain higher abundances of olivine than the ordinary chondrites (65-78%) (Bischoff et al. 2011)',anchor for A/R silicate-dominant rows - our A-row silicate_fraction=0.90 is consistent with an olivine-dominated mantle fragment
reddy_asteroids_iv_mineralogy,HED/V-type pyroxene compositional range,Fs23-56; Wo2-14,mol%,"p.7 verbatim: 'applicable to the entire range of pyroxene compositions in HEDs (Fs23-56; Wo2-14), and are more accurate (to within 3 mol% Fs and 1 mol% Wo)'","anchors V-row minerals [pyroxene, plagioclase, olivine] - basaltic crust of a differentiated body"
reddy_asteroids_iv_mineralogy,S/Q-type = ordinary-chondrite analogs; calibration accuracy,Fa/Fs error <2 mol%,mol%,pp.7-9: Dunn et al. 2010b calibrations from ~50 measured OC powders (PSD-XRD modes down to 1 wt%),"anchors S-row minerals [olivine, pyroxene, nickel-iron] and the 'S/Q rows are ordinary-chondrite analogs' framing used across catalog.py notes"
reddy_asteroids_iv_mineralogy,Itokawa ground truth: LL chondrite; olivine ratio,ol/(ol + low-Ca pyx) = 76,%,"Fig.5 caption p.26 (Shkuratov model, Hayabusa sample-confirmed)",first spacecraft-verified S-type mineralogy - validates the whole 'S-row = ordinary chondrite' mapping
reddy_asteroids_iv_mineralogy,Eros ground truth: L/LL chondrite region,Fs/Fa identical from NEAR NIS + ground-based; plots in L/LL zone,mol%,Fig.6 captions pp.26-27,second spacecraft verification (S-type = ordinary chondrite)
reddy_asteroids_iv_mineralogy,A/S/Q/V meteorite analogs vs terrestrial collection,91,% of all meteorites,p.8 verbatim: 'Meteorite analogs for these three asteroid types... constitute 91% of all the meteorites in our terrestrial collection (DeMeo et al. in this book)',context: per-type composition anchors exist where most ground truth exists - coverage argument for which rows can be cited vs must stay approximate
lodders_2010_solar_abundances,CI chondrite total carbon,"34,800",ppm (3.48 wt%),Table 2 p.8 (Orgueil as representative CI),"per-element basis: our B/C-complex carbon_fraction defaults of 0.25-0.30 are ~7-9x bulk ELEMENTAL carbon - confirms the glavin_2018 flag that those fractions encode a broader 'carbon-bearing material' definition, not elemental C"
lodders_2010_solar_abundances,CI chondrite Fe/Mg/Si,"185,000 / 95,800 / 107,000",ppm (18.5/9.6/10.7 wt%),Table 2 p.9,bulk-silicate composition basis for C-complex rows; cross-checks Cannon et al. Table 3 CI values (Fe 18.88 / Mg 9.54 / Si 10.70 from Palme et al. 2014) - two independent compilations agree to <2%
lodders_2010_solar_abundances,CI chondrite O and S,"459,000 / 53,500",ppm (45.9/5.35 wt%),Table 2 p.9,oxygen + sulfide context for the ice_fraction rows of C-complex (hydration carriers)
lodders_2010_solar_abundances,CI chondrite PGM suite,Ru 0.686 / Rh 0.139 / Pd 0.558 / Os 0.493 / Ir 0.469 / Pt 0.947,ppm,Table 2 p.10,sum = exactly 3.29 ppm CI bulk - independently reproduces the lodders_palme2009 baseline (domain 1) that anchors PGM_ENRICHMENT_BY_TYPE calibration; two Lodders compilations agree
