source_id,quantity,mission,value_lb,value_kg,page,extraction_note
sp4029_apollo_by_the_numbers,LM descent stage dry weight (as flown),Apollo 9,4265,1934.6,p287,"reading-order text layer of 'Weight, dry' row; split-digit OCR cell reassembled and asserted"
sp4029_apollo_by_the_numbers,LM descent stage dry weight (as flown),Apollo 10,4703,2133.2,p287,"reading-order text layer of 'Weight, dry' row; split-digit OCR cell reassembled and asserted"
sp4029_apollo_by_the_numbers,LM descent stage dry weight (as flown),Apollo 11,4483,2033.5,p287,"reading-order text layer of 'Weight, dry' row; split-digit OCR cell reassembled and asserted"
sp4029_apollo_by_the_numbers,LM descent stage dry weight (as flown),Apollo 12,4875,2211.3,p287,"reading-order text layer of 'Weight, dry' row; split-digit OCR cell reassembled and asserted"
sp4029_apollo_by_the_numbers,LM descent stage dry weight (as flown),Apollo 13,4650,2109.2,p287,"reading-order text layer of 'Weight, dry' row; split-digit OCR cell reassembled and asserted"
sp4029_apollo_by_the_numbers,LM descent stage dry weight (as flown),Apollo 16,6083,2759.2,p287,"reading-order text layer of 'Weight, dry' row; split-digit OCR cell reassembled and asserted"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 9,18040.0,8182.8,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 10,18218.7,8263.9,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 11,18184.0,8248.1,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
sp4029_apollo_by_the_numbers,LM descent stage propellant LOADED total (fuel+ox),Apollo 12,18429.0,8359.3,p305,"'LM Descent Stage Propellant Status' table, Loaded/Total row; fuel+ox reconciles to total within 0.1 lb for all 9 missions"
