category,item,our_value_usd_per_kg_or_tpyr,reference_source,reference_date_or_period,reference_raw,reference_unit,converted_reference_usd_per_kg,pct_diff_ours_vs_ref,status
base_metal,copper,8.8,worldbank_cmo_pink_sheet Monthly Prices col 'Copper' ($/mt),2026M05,13543,$/metric tonne,13.543,-35.0,STALE - underpriced ~35% at our own stamp month (revision candidate)
base_metal,nickel,16.5,worldbank_cmo_pink_sheet Monthly Prices col 'Nickel' ($/mt),2026M05,18806,$/metric tonne,18.806,-12.3,mildly stale - underpriced ~12% at our own stamp month
base_metal,iron (element Fe),0.5,"worldbank_cmo_pink_sheet col 'Iron ore, cfr spot' ($/dmtu) — ORE not refined metal",2026M05,108.6,$/dry metric tonne unit (ore),n/a - product/unit mismatch,,context only: WB series is iron ORE; our row prices refined Fe
base_metal,aluminum,(no priced catalog row),worldbank_cmo_pink_sheet col 'Aluminum' ($/mt),2026M05,3666,$/metric tonne,3.666,,not comparable - not a tradable element in our catalog
base_metal,zinc,(no priced catalog row),worldbank_cmo_pink_sheet col 'Zinc' ($/mt),2026M05,3482,$/metric tonne,3.482,,not comparable - not a tradable element in our catalog
base_metal,cobalt,33.0,(absent from WB 71-commodity sheet and JM report),n/a,,,,,UNANCHORED GAP: priced in catalog but no reachable institutional series found
cross_check,gold,(both anchors agree),WB 4587 $/oz troy (May-26) vs LBMA 145506.2 $/kg @2026-05-29 = 4525.75 $/oz troy,2026M05,,$/troy oz,,1.35,AGREE within 1.4% - anchors mutually validated
cross_check,platinum,(both anchors agree),WB 1998 $/oz troy (May-26) vs LBMA 1912.00 $/oz troy @2026-05-29,2026M05,,$/troy oz,,4.5,AGREE within 4.5% - anchors mutually validated
cross_check,silver,(both anchors agree),WB 78 $/oz troy (May-26) vs LBMA 75.78 $/oz troy @2026-05-29,2026M05,,$/troy oz,,2.93,AGREE within 3% - anchors mutually validated
jm_price,rhodium,320000,"jm_pgm_market_report_2026 p8 verbatim: ""spiking above $9,000 during the final days of December"" [2025]; Q1-26 peaked ""$12,000 in late February ... retreat towards $10,000""",end-Dec-2025 (primary) / Q1-2026,9000,$/troy oz (JM base price),289356.7,10.6,mildly stale - ours ~10.6% above end-Dec-25 JM quote
jm_price,iridium,160000,"p17 verbatim: ""Iridium and ruthenium both saw strong gains during the first quarter, hitting new all-time highs of $8,000 and $1,750, respectively"" [Q1-2026; Ir listed first]",Q1-2026 (ATH),8000,$/troy oz (JM base price),257206.0,-37.8,STALE - underpriced ~37.8% vs Q1-26 ATH (revision candidate)
jm_price,ruthenium,16000,"same p17 sentence ($1,750 = Ru, second listed); also p8: end-2025 ""then all-time record of $1,275 by the year end""",Q1-2026 (ATH) / end-2025,1750,$/troy oz (JM base price),56263.8,-71.6,"STALE - underpriced ~71.6% vs Q1-26 ATH (~$56,263/kg); even vs the more conservative end-of-25 record $1,275/oz (≈$40,992/kg) ours is -61.0% (revision candidate; worst PGM gap)"
jm_price,platinum,45000,"p17 verbatim: ""falling to $1,908 and $1,448, respectively [Pt/Pd], at the end of March"" [2026]",end-March-2026,1908,$/troy oz (JM base price),61343.6,-26.6,corroborates R45 LBMA finding (-26.8%) independently
jm_price,palladium,48000,"same p17 sentence ($1,448 = Pd, second listed)",end-March-2026,1448,$/troy oz (JM base price),46554.3,3.1,fine at Q1 levels
jm_production,rhodium ~t/yr,23,"p32 tonnes table verbatim row ""Total primary supply ... 2025 = 17.6""",JM 2025 primary supply,17.6,tonnes/yr (primary),,30.7,OURS +30.7% HIGH - revision candidate
jm_production,iridium ~t/yr,7.5,"p34 tonnes table verbatim row ""Total primary supply ... 2025 = 7.1""",JM 2025 primary supply,7.1,tonnes/yr (primary),,5.6,AGREE within ~6%
jm_production,ruthenium ~t/yr,30,"p33 tonnes table verbatim row ""Total primary supply ... 2025 = 30.2""",JM 2025 primary supply,30.2,tonnes/yr (primary),,-0.7,AGREE (<1%)
gap,osmium,13000,no published reference price at LBMA or JM; full-text scan of jm_pgm_market_report_2026: ZERO osmium mentions; no production table,n/a (verified absent),,,,,UNANCHORED - only precious-metal row with no reachable institutional price source
gap,cobalt,33.0,absent from WB 71-commodity sheet and JM report,n/a (verified absent),,,,,UNANCHORED by these sources (LME-listed in reality; not registered)
access,jm_pgm_market_report_2026,,"pulled live 2026-09-23 from matthey.com/documents/161599/509428/pgm-market-report-26.pdf (HTTP 200, PDF 1.28 MB); NOT committed to full_texts/: JM terms ""The Prices are the property of Johnson Matthey Plc ... Any use of the Prices without the prior consent of Johnson Matthey Plc is prohibited""",pulled 2026-09-23,,,,,extraction-only registration (T2)
