source_id,item,value,unit,location_in_source,notes
lac_bac_2024,HePUR-insulated LH2 tank baseline heat ingress -> boil-off (NO active cooling),35 W / 0.04 per day,,"Sec 4.2, Table with Perlite vs HePUR baselines","ANCHORS OUR ROW: storage_systems 'Orbital propellant depot' and the hydrolox passive charge of 0.05%/day — this paper's best-insulation case is 0.04%/day, so our figure sits at the top of a peer-reviewed range (worse insulation = up to ~6x higher)"
lac_bac_2024,Perlite-insulated LH2 tank baseline heat ingress -> boil-off,5905 W / 0.24 per day,,"Sec 4.2, same table",the passive-only case for a cheaper insulation stack — shows how much the MLI quality assumption matters; our single 1.2 kg/m2 MLI row hides this spread
lac_bac_2024,"hydrogen reliquefaction specific energy (Kim et al., cited in paper)",5 kW h per kg,,Eq. 14 + Appendix C,the cost of the ZBO alternative: every kg we don't boil off is worth ~5 kWh saved — pairs with our cryocooler row's W/W figures
lac_bac_2024,local area cooling (LAC) vs broad area cooling (BAC),order-of-magnitude smaller cooling system for large tanks,,Abstract + Sec 1-3,the architectural argument behind why a depot can afford active boil-off control that a departure stage cannot — supports our 'depot beats spacecraft tank' note
zero_bo_off_2025,LH2 transfer losses: variable-speed pump (VSD) strategy,0 to 0.24 wt% per transfer,,"Abstract, uncertainty analysis over 160,000 m3 / 11,248 t transfers","DIRECT ANCHOR for our 'In-space propellant transfer loss' row (currently 3%, range 1-8): the peer-reviewed best case is an order of magnitude LOWER — but this is ground-seaborne with a centrifugal pump at ~70% efficiency; space microgravity transfer has no such hardware yet, so keep our higher value and cite this as the lower bound"
zero_bo_off_2025,LH2 transfer losses: fixed-speed pump (no VSD),0.76 to 1.06 wt% per transfer,,Abstract,the 'cheap pump' case — still far below our 3%; supports narrowing our range_low toward ~1 once microgravity-transfer hardware exists
ssap_2021,"SSAP yield from C-type (CM/Murchison mineralogy) silicates, per 1000 kg processed",Fe 375 / O2 125 / SiO2 260 / MgO 174 / H2O 87,kg,,"Table 3, 'C-type (CM-Murchison)' row","the only peer-reviewed per-asteroid-TYPE beneficiation yield table found in round 1 — the direct external check on Module 2's commodity split for C-types; note water is incidental here (native water released during processing), not an SSAP product"
ssap_2021,"SSAP yield from S-type (H-chondrite mineralogy) silicates, per 1000 kg processed",Fe 132 / O2 27 / SiO2 509 / Al2O3 25 / MgO 323 / CaO 20,kg,,"Table 3, 'S-type (H Chondrite)' row",confirms the paper's own claim that S-types are 'otherwise resource-poor' but sulfur-rich — consistent with our pipeline pricing S-types low on water and moderate on structural metals
ssap_2021,"SSAP yield from C-type (CI/Orgueil) silicates, per 1000 kg processed",Fe 65 / O2 3 / SiO2 430 / MgO 436 / H2O 118,kg,,"Table 3, 'C-type (CI-Orgueil)' row",the low-iron end of the C-type range — shows how much yield varies WITHIN one spectral type; argues for per-subtype (Ch/Cgh/...) mineralogy in Module 2 rather than a single C-row
ssap_2021,SSAP peak operating temperature,~950,C,,Sec on metal/oxide production + comparison to molten-salt electrolysis,the energy-cost anchor for the beneficiation step our pipeline charges only via utility discounts — 950 C processing is a real thermal load at a destination where power is the binding constraint
