source_id,item,value,unit,location_in_source,notes
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2031 — TMI,3.948,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2031 — MOI,1.791,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2031 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2033 — TMI,4.085,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2033 — MOI,1.520,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2033 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2035 — TMI,3.737,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2035 — MOI,0.969,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2035 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2037 — TMI,4.085,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2037 — MOI,1.731,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2037 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2039 — TMI,4.103,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2039 — MOI,1.670,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2039 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2041 — TMI,4.085,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2041 — MOI,1.502,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2041 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2043 — TMI,4.085,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2043 — MOI,1.713,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2043 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2046 — TMI,4.085,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2046 — MOI,1.713,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 LEFT All-propulsive crew mission 2046 — TEI,1.563,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry","vector-extracted bar height from PDF drawing objects; calibration exact (bars sit on zero axis, tick spacing uniform); precision ~±0.03 km/s"
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2028 — TMI (aerocapture-MOI case),3.652,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2028 — TMI (propulsive-MOI case),3.652,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
dra5_2009_human_exploration_of_mars,Fig 4-2 RIGHT propulsive-or-aerobrake cargo mission 2028 — MOI (propulsive capture),1.060,km/s,"p.37 Fig 4-2 (NTRS PDF p37), bar geometry",vector-extracted; same calibration as left panel; the two TMI series are near-identical by design (aerocapture vs propulsive MOI barely changes Earth departure)
