source,item,value_or_figure,basis_period,delta_vs_our_row_pct,note
Gallagher Plane Talking Space Market Update Q4-2024 (09 Jan 2025),claims notified in the late-2023/early-2024 window,circa USD2bn of claims being notified within 18 months,Q4-2024 issue,n/a — context only,multi-year notification window; consistent with R50's ~USD900mn 2023 underwriting loss + further USD230mn Dec-2022
Gallagher Plane Talking Space Insurance Update Q1-2025 (04 Apr 2025),working capacity 2024 vs 2025,"USD 550m -> USD 502m (-8.7% YoY, computed)",Q1-2025 issue,"n/a — capacity, not premium rate",'Working Capacity is an estimate based on the information we have received and our market expertise' (issue's own caveat)
Gallagher Plane Talking Space Insurance Market Update Q2-2025 (03 Jul 2025),rate-direction turning point,"""finally shown signs of having turned the corner with competition for attractive risks starting to exert pressure on premium rates.""",Q2-2025 issue,"n/a — qualitative; marks the hardening->softening turn our ~10% row was calibrated against (hardening era, Q1-2024)",
Gallagher Plane Talking Space Insurance Market Update Q2-2025 (03 Jul 2025),historical premium decline 2012-2018,"""As the market became increasingly competitive from 2012 to 2018, market premium declined by over 50%.""",Q2-2025 issue (AXA XL/Triton interview),n/a — context only,"'Losses in 2018 and 2019 resulted in the market hardening, with several insurers leaving this class of business due to its volatility'"
Gallagher Plane Talking Space Insurance Market Update Q1-2026 (10 Apr 2026),capacity increase into 2026,"""Market capacity for 2026 showed an encouraging increase of approximately USD100m year on year,""",Q1-2026 issue,"n/a — capacity, not premium rate",issue also states 'over 15% more theoretical capacity available compared to this time last year' (the ONLY %-figure in the whole series run that is NOT a loss ratio)
Gallagher Plane Talking Space Insurance Market Update Q1-2026 (10 Apr 2026),SpainSat NG-2 total loss,"""notice of potential loss for SpainSat NG-2, insured for over USD400m. With a total loss now apparently confirmed , this shifts the 2025 space insurance market underwriting loss ratio from circa 15% to circa 75%""","Q1-2026 issue; notice of potential loss 26 Dec 2025, total loss confirmed by Apr 2026",n/a — context only (largest single space-insurance loss in the series run),'the impact on premium rates has been muted' per the same issue
Gallagher Plane Talking Space Insurance Market Update Q1-2026 (10 Apr 2026),rate direction for buyers,"""premium rate reductions remain available on prime in-orbit business and launch pricing continues to improve.""",Q1-2026 issue,n/a — qualitative; EASING direction vs our hardening-era-calibrated ~10% row (may sit slightly high against 2026 market),
Gallagher Plane Talking Space Insurance Update Q2-2026 (10 Jul 2026),theoretical capacity added in 2026 to date,"""over USD 70 million of theoretical capacity has been added to the market in 2026.""",Q2-2026 issue,"n/a — capacity, not premium rate",new entrants Phemis/AESIR/Hive + WhiteCap (Jun 2026); HDI Global departed 19 May 2026
Gallagher Plane Talking Space Insurance Update Q2-2026 (10 Jul 2026),BlueBird 7 claim,"""The only significant claim reported since SpainSat in December 2025 has been AST SpaceMobile’s BlueBird 7 satellite, following Blue Origin’s unsuccessful launch in April 2026 – insured for circa. USD30m.""",Q2-2026 issue; April 2026 Blue Origin unsuccessful launch,n/a — context only,
Gallagher Plane Talking Space Insurance Update Q2-2026 (10 Jul 2026),rate direction H2-2026,"""we continue to see increased competition for heritage in-orbit and launch risks, which could drive premium rate reductions in the second half of 2026.""",Q2-2026 issue,n/a — qualitative; easing expected to continue into the Q4 renewal window,
"Gallagher Plane Talking series run (7 issues, Q4-2023 -> Q2-2026)",explicit launch-premium-% figure anywhere in the series?,NONE FOUND — %-sweep of all 7 issues found only capacity/loss-ratio percentages,R57 sweep,"n/a — HONEST GAP: our ~10% row stays DIRECTIONALLY corroborated, NOT numerically pinned",
