source_id,type,n_measured_bodies,mean_bulk_density_gcm3,median_bulk_density_gcm3,min_gcm3,max_gcm3,pipeline_value_gcm3,verdict_vs_pipeline
simda2024,S,53,3.463,2.870,0.700,9.980,2.7,HIGH by +-0.76
simda2024,Ch,47,1.978,1.680,1.040,4.960,1.5,HIGH by +-0.48
simda2024,C,33,1.832,1.630,0.650,4.180,1.5,HIGH by +-0.33
simda2024,X,26,3.301,2.860,0.940,9.050,3.3,AGREE
simda2024,Xk,13,4.596,3.930,1.990,12.310,3.6,HIGH by +-1.00
simda2024,Cb,13,1.721,1.790,0.830,2.920,1.4,HIGH by +-0.32
simda2024,B,10,1.967,2.100,1.300,2.770,1.3,HIGH by +-0.67
simda2024,Xc,9,2.243,1.970,0.530,4.800,2.5,AGREE
simda2024,Sq,5,3.228,2.810,1.850,5.540,2.8,HIGH by +-0.43
simda2024,Cgh,5,1.800,1.960,1.180,2.330,1.6,AGREE
simda2024,L,4,4.603,4.950,2.250,8.890,2.8,HIGH by +-1.80
simda2024,Xe,4,3.562,3.890,2.600,5.090,3.8,AGREE
simda2024,V,3,2.823,3.410,1.640,3.420,2.9,AGREE
simda2024,D,3,1.407,1.270,1.140,1.810,1.2,AGREE
simda2024,K,2,3.160,3.480,2.840,3.480,2.5,HIGH by +-0.66
simda2024,T,1,2.670,2.670,2.670,2.670,1.8,HIGH by +-0.87
simda2024,Sa,1,1.080,1.080,1.080,1.080,2.8,LOW by -1.72
simda2024,R,1,1.820,1.820,1.820,1.820,3.1,LOW by -1.28
simda2024,A,1,3.930,3.930,3.930,3.930,3.2,HIGH by +-0.73
simda2024,Cg,1,1.280,1.280,1.280,1.280,1.5,AGREE
