id,tier,short_title,journal_or_series,year,doi_or_url,authors_short,access_status,pipeline_mapping
hf_dataset,T3,launch-cost-to-leo (63-vehicle structured dataset),Hugging Face Datasets,2024,https://huggingface.co/datasets/juliensimon/launch-cost-to-leo,juliensimon (dataset maintainer),full_text_hosted (parquet committed; access date 2026-09-17),"row-by-row external check of launch_vehicles.csv: 5 exact matches, config-mismatch labels on 4 rows, Long March 5 flagged for range bands"
jones2018,T2,The Recent Large Reduction in Space Launch Cost (ICES-2018-81),AIAA ICES proceedings / NASA NTRS,2018,https://ntrs.nasa.gov/citations/20200001093,Jones H.W. (NASA Ames),full_text_hosted,"historical $/kg baseline: Shuttle 54,500 -> commercial ~2,700-3,900; the factor-of-20 trend behind our cost-cascade context"
terzi_nicoli_2026,T1,From Sputnik to Starship: Estimating the experience curve of space launch technology,PNAS Nexus 5(7):pgag217 (CC-BY-4.0),2026,https://doi.org/10.1093/pnasnexus/pgag217,"Terzi, A.; Nicoli, F.",full_text_hosted (Cambridge repository bitstream verified live; PMC stub + other routes failed),"THE forward-projection anchor: 4,400+ launches 1960-2025 standardized to LEO in 2024 USD; fleet avg $87,023/kg -> $3,868/kg; Wright's-law -21.2%/doubling (post-Cold-War ~44%); central forecast $1,600/kg by 2030, $300/kg by 2040"
weinzierl2018,T1,"Space, the Final Economic Frontier",Journal of Economic Perspectives 32(2):173-192 (OA; both PDF routes bot-block this machine),2018,https://doi.org/10.1257/jep.32.2.173,"Weinzierl, M.",open_not_pulled (aeaweb pdf 403 + Harvard DASH download 405; abstract + COTS figure recorded from OA landing page),"economics-journal anchor for the commercial-vs-government price gap: COTS cargo to ISS ~$89k/kg SpaceX vs $135k Orbital vs ~$272k Shuttle (Zapata 2017, as cited) — pairs with terzi_nicoli_2026 as theory + data"
metzger_2023,T1,"Metzger (UCF Florida Space Institute), 'Economics of In-Space Industry and Competitiveness of Lunar-Derived Rocket Propellant' — Acta Astronautica 211:458-479, DOI 10.1016/j.actaastro.2023.03.014 | arXiv:2303.09011 preprint read live; NO redistribution license on the preprint and Elsevier bot-blocks => recorded only",Acta Astronautica,2023,https://doi.org/10.1016/j.actaastro.2023.03.014,Metzger,"open_not_pulled (arXiv preprint read live, 50 pp; no redistribution license + Elsevier SD-blocked)",Theoretical anchor for ISRU economics: 'gear ratio on cost' G and production mass-ratio phi are the two factors that decide whether lunar propellant beats Earth-launched; prior TEAs erred by choosing high-G architectures or ignoring phi. Tent-sublimation technology has phi an order of magnitude better than the viability threshold => conclusion: lunar propellant WILL be commercially viable and should lower the cost of everything else in space. Same author as metzger_zacny_2020 (drilling) — his UCF line is now our standing reference for both ISRU physics and its economics.
yun_2023,T1,"Yun, Jo & Yoon (KAIST / Seoul National University line), 'Development Trends of Reusable Launch Vehicles' — Journal of the Korean Society for Propulsion Engineers 27(2):45-59, DOI 10.6108/kspe.2023.27.2.045 | koreascience.or.kr served the PDF directly (verified live from this machine)",KSPE,2023,https://doi.org/10.6108/kspe.2023.27.2.045,"Yun, Jo, Yoon",full_text_hosted (koreascience.or.kr direct PDF route verified live; journal is open access),"Peer-reviewed spec anchor for the Starship / New Glenn / Falcon Heavy rows of launch_vehicles.csv: comprehensive table of reusable LVs worldwide with engine configuration, total thrust and fuel — Starship CH4 7342 kN (Raptor x33 on booster + x6 ship), New Glenn BE-4 x7 methalox, plus reusability plans (New Glenn first stage designed for up to 25 flights after an initial 100-flight plan; Starship full reuse via grid fins + landing gear). Scope note: the paper does NOT tabulate payload mass or $/kg — those columns of our rows remain vendor-announced values."
askins_2021_sls_janaff_update,T2,SLS Block Capabilities Update (JANAFF briefing: 'The Power of SLS and Orion') — NTRS 20210016306,"NASA SLS Program Office presentation, JANAFF 2021",2021,https://ntrs.nasa.gov/citations/20210016306 (full text hosted),"Askins (SLS Program Infrastructure Manager, NASA)",full_text_hosted,"launch_vehicles.csv 'SLS Block 1B (Cargo)' row: EXACT payload match — official capability table gives Payload to LEO = 105 t (231.4k lbs) for both Block 1B Cargo and Crew, with the defining footnote 'LEO represents a typical 200 km circular orbit at 28.5 degrees inclination' (our row's payload_leo_kg=105000); also gives the full block ladder: B1C/B1B C+Cr = 95 t LEO, B2 Cargo/Crew = 130 t; TLI column (42/38/>27 t) cross-checks our payload_escape_kg context. $/kg side of the row already covered by jones2018 + hf_dataset."
nasa_esd30000_sls_mission_planners_guide,T2,"SLS Mission Planner's Guide (ESD-30000, Version A) — NTRS 20190000736",NASA Exploration Systems Development document ESD 30000,2018,https://ntrs.nasa.gov/citations/20190000736 (full text hosted),"NASA SLS Program Office (official program document, approved for public release)",full_text_hosted,"launch_vehicles.csv 'SLS Block 1B (Cargo)' row: the official performance-definition source — Section 4.2 mass delivery definitions + Earth-orbit performance; body text verified: Block 1 LEO capability >95 t ('more than 209,439 lbm'), Block 1B EUS delivers up to 88,185 lbm (40 t) to lunar vicinity; defines the mass-delivery methodology behind every SLS number in our row family. Companion anchor to askins_2021 for the exact 105 t LEO figure."
zapata_2017_cots_crs_lcc_assessment,T2,An Assessment of Cost Improvements in the NASA COTS/CRS Program and Implications for Future NASA Missions — NTRS 20170008895,"AIAA conference paper (NASA KSC), published Sept 2017, archived on NTRS",2017,https://ntrs.nasa.gov/citations/20170008895 (full text hosted),Zapata (NASA Kennedy Space Center),full_text_hosted,"launch_vehicles.csv cost side: NASA-verified Falcon 9 development cost ~$390M total ($300M F9 + $90M F1) vs NAFCOM traditional estimates of $1.7B-$4.0B — the primary peer-reviewed anchor for why our usd_per_kg_to_leo=4253 (Falcon 9 reusable row, list_price_usd=74000000) sits ~10x below legacy vehicles; also gives operational recurring cost per actual kg delivered to ISS: SpaceX $89,000/kg vs Orbital ATK $135,000/kg vs Shuttle what-if ~$272,000/kg (Table 1), and the COTS/CRS LCC methodology for comparing launch services across vehicles. Companion cost anchor to jones2018 + hf_dataset."
webb_2016_is_it_worth_it_reusable_econ,T2,"Is It Worth It? The Economics of Reusable Space Transportation — NTRS 20160013370 (ICEAA 2016 International Training Symposium, Bristol)",ICEAA 2016 International Training Symposium proceedings; NASA PCEC Launch Services ROM Estimator documentation,2016,https://ntrs.nasa.gov/citations/20160013370 (full text hosted),Webb (KAR Enterprises),full_text_hosted,"launch_vehicles.csv cost side: the official documentation of the NASA PCEC Launch Services ROM Estimator — a destination x mass-breakpoint price table in 2015$ (M15$) per launch. Verified from the PDF's word coordinates (ragged matrix, not every cell filled): GEO <3,000 kg = $120M / >3,000 kg = $140M; Planetary <1,000 kg = $80M / 1,000-2,000 kg = $110M / >2,000 kg = $175M; Polar <1,000 kg = $55M / 1,000-2,000 kg = $85M / >2,000 kg = $130M; Lunar <500 kg = $85M / >500 kg = $160M; LEO <500 kg = $40M / >500 kg = $80M; Helio (all masses) = $100M. The paper's worked example (a 500 kg payload 'on the order of' ~$50M, i.e. ~$100,000/kg) is a rough illustration of price-per-kg falling with mass; it does not pin down a single table cell and should be cited as an order-of-magnitude example only. This is the peer-reviewed basis for order-of-magnitude sanity checks on our usd_per_kg_to_leo/gto/escape columns and for the 'price per flight vs price per kg' distinction that underpins how list_price_usd should be interpreted in module 4."
