item,value,units,population_or_body,source_file_row_context
delta_v,7.368,km/s,(101955) Bennu (number=101955),"ssoBFT.parquet delta_v.delta_v; transfer_time 233.4 d, n_burns 3"
delta_v,6.985,km/s,(162173) Ryugu (number=162173),"transfer_time 242.8 d, n_burns 3"
delta_v,7.643,km/s,(433) Eros (number=433),"transfer_time 299.8 d, n_burns 2"
delta_v,6.139,km/s,(65803) Didymos (number=65803),"transfer_time 382.2 d, n_burns 3"
delta_v,9.699,km/s,(69230) Hermes (number=69230; NOT Bennu - identity verified via JPL sbdb.api this round),"transfer_time 457.3 d, n_burns 3"
delta_v,10.58,km/s,(1) Ceres (dwarf planet row present in ssoBFT),transfer_time 480.6 d
n_bodies_with_delta_v,1563628,,"all rows with numeric delta_v (of 1,563,708)",
delta_v_min,3.459,km/s,whole table,
delta_v_median,10.156,km/s,whole table,
delta_v_mean,10.2928,km/s,whole table (stdev ~1.287 on 200k subsample),
delta_v_max,37.582,km/s,whole table,
n_nea,42379,,q = a(1-e) < 1.3 au,
nea_delta_v_p05,5.539,km/s,NEA (q<1.3),
nea_delta_v_median,8.877,km/s,NEA (q<1.3),
nea_delta_v_mean,10.071,km/s,NEA (q<1.3),
nea_delta_v_p95,18.334,km/s,NEA (q<1.3),
nea_dv_lt_4_km_s_count,93,,"NEA, 0.219% of NEAs",cf Elvis et al. 2011: ~65 ultra-low-dV NEOs of 6699 known as of 2010 (different definition + vintage; same order)
nea_dv_lt_5_km_s_count,942,,"NEA, 2.223% of NEAs",
nea_dv_lt_6_km_s_count,3868,,"NEA, 9.127% of NEAs",
n_mba,1467308,,"1.6<=a<=3.4 au, q>=1.6 au",
mba_delta_v_min,6.938,km/s,MBA subset,
mba_delta_v_p05,8.492,km/s,MBA subset,
mba_delta_v_median,10.129,km/s,MBA subset,
mba_delta_v_mean,10.249,km/s,MBA subset,
mba_delta_v_p75,10.887,km/s,MBA subset,
mba_delta_v_p95,12.506,km/s,MBA subset,
n_other,53941,,remainder,
other_delta_v_median,11.797,km/s,other subset,
delta_v_definition,Best total velocity range (Delta-V) that a spacecraft must undergo from Earth orbit to match orbit and rendezvous with a target,,"column delta_v.delta_v; transfer_time in days, n_burns = number of burns for the best Delta-V",
